Project:,SAEON,Sub Project:,Algoa Bay Long Term Research,,,,,,
Time Series:,BIO_30m_021,Series Code:,ABLTMRP_BIOFF_UTR_30m_5/7_021,Raw Data File:,C:\Data Store\Algoa Bay Sentinel Site\Continuous Monitoring Platform\Staging\UTRs\20200312_MalickI\80m_BI_5.csv,,,,
Location:,Bird Island,Site:,Offshore,GPS Name:,80M UTR - BI,Mooring Type:,UTR Array,Mooring No:,11
Latitude:,-33.90385,Longitude:,26.30076,LatShore:,-33.764,LongShore:,26.306,Distance (m):,
Interval (hr):,1,Total:,4224,Variables:,1,,,,
Deploy Depth (m):,30,Bottom Depth (m):,80,Bin No:,5,Total Bins:,7,,
Start Date:,2019/09/10,Start Time:,11:00:00,,,,,,
End Date:,2020/03/04,End Time:,10:00:00,,,,,,
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,20190409,,,,,,
Comment:,,,,,,,,,
Plot Title: 80m BI_5,,,,,,,,,
#,Date,"Time, GMT+02:00","Temp, °C (LGR S/N: 20190409, SEN S/N: 20190409)",,,,,,
28,2019/09/10,11:00:00 am,18.961,,,,,,
29,2019/09/10,12:00:00 pm,18.295,,,,,,
30,2019/09/10,1:00:00 pm,18.485,,,,,,
31,2019/09/10,2:00:00 pm,18.39,,,,,,
32,2019/09/10,3:00:00 pm,19.056,,,,,,
33,2019/09/10,4:00:00 pm,18.58,,,,,,
34,2019/09/10,5:00:00 pm,18.557,,,,,,
35,2019/09/10,6:00:00 pm,18.652,,,,,,
36,2019/09/10,7:00:00 pm,18.557,,,,,,
37,2019/09/10,8:00:00 pm,17.796,,,,,,
38,2019/09/10,9:00:00 pm,18.628,,,,,,
39,2019/09/10,10:00:00 pm,18.961,,,,,,
40,2019/09/10,11:00:00 pm,19.056,,,,,,
41,2019/09/11,12:00:00 am,19.08,,,,,,
42,2019/09/11,1:00:00 am,19.127,,,,,,
43,2019/09/11,2:00:00 am,19.46,,,,,,
44,2019/09/11,3:00:00 am,18.961,,,,,,
45,2019/09/11,4:00:00 am,19.199,,,,,,
46,2019/09/11,5:00:00 am,18.913,,,,,,
47,2019/09/11,6:00:00 am,18.866,,,,,,
48,2019/09/11,7:00:00 am,18.652,,,,,,
49,2019/09/11,8:00:00 am,18.866,,,,,,
50,2019/09/11,9:00:00 am,18.794,,,,,,
51,2019/09/11,10:00:00 am,18.937,,,,,,
52,2019/09/11,11:00:00 am,19.056,,,,,,
53,2019/09/11,12:00:00 pm,18.937,,,,,,
54,2019/09/11,1:00:00 pm,19.056,,,,,,
55,2019/09/11,2:00:00 pm,19.151,,,,,,
56,2019/09/11,3:00:00 pm,19.127,,,,,,
57,2019/09/11,4:00:00 pm,19.318,,,,,,
58,2019/09/11,5:00:00 pm,19.27,,,,,,
59,2019/09/11,6:00:00 pm,19.199,,,,,,
60,2019/09/11,7:00:00 pm,18.129,,,,,,
61,2019/09/11,8:00:00 pm,18.2,,,,,,
62,2019/09/11,9:00:00 pm,18.176,,,,,,
63,2019/09/11,10:00:00 pm,18.366,,,,,,
64,2019/09/11,11:00:00 pm,17.962,,,,,,
65,2019/09/12,12:00:00 am,18.414,,,,,,
66,2019/09/12,1:00:00 am,18.961,,,,,,
67,2019/09/12,2:00:00 am,18.509,,,,,,
68,2019/09/12,3:00:00 am,18.557,,,,,,
69,2019/09/12,4:00:00 am,18.247,,,,,,
70,2019/09/12,5:00:00 am,17.986,,,,,,
71,2019/09/12,6:00:00 am,17.986,,,,,,
72,2019/09/12,7:00:00 am,17.938,,,,,,
73,2019/09/12,8:00:00 am,17.653,,,,,,
74,2019/09/12,9:00:00 am,17.724,,,,,,
75,2019/09/12,10:00:00 am,17.677,,,,,,
76,2019/09/12,11:00:00 am,17.748,,,,,,
77,2019/09/12,12:00:00 pm,17.819,,,,,,
78,2019/09/12,1:00:00 pm,17.13,,,,,,
79,2019/09/12,2:00:00 pm,17.463,,,,,,
80,2019/09/12,3:00:00 pm,18.176,,,,,,
81,2019/09/12,4:00:00 pm,18.247,,,,,,
82,2019/09/12,5:00:00 pm,18.033,,,,,,
83,2019/09/12,6:00:00 pm,18.105,,,,,,
84,2019/09/12,7:00:00 pm,17.011,,,,,,
85,2019/09/12,8:00:00 pm,18.604,,,,,,
86,2019/09/12,9:00:00 pm,18.414,,,,,,
87,2019/09/12,10:00:00 pm,19.175,,,,,,
88,2019/09/12,11:00:00 pm,18.794,,,,,,
89,2019/09/13,12:00:00 am,18.842,,,,,,
90,2019/09/13,1:00:00 am,19.436,,,,,,
91,2019/09/13,2:00:00 am,18.033,,,,,,
92,2019/09/13,3:00:00 am,18.39,,,,,,
93,2019/09/13,4:00:00 am,17.153,,,,,,
94,2019/09/13,5:00:00 am,17.534,,,,,,
95,2019/09/13,6:00:00 am,18.081,,,,,,
96,2019/09/13,7:00:00 am,18.366,,,,,,
97,2019/09/13,8:00:00 am,18.01,,,,,,
98,2019/09/13,9:00:00 am,17.225,,,,,,
99,2019/09/13,10:00:00 am,18.057,,,,,,
100,2019/09/13,11:00:00 am,18.866,,,,,,
101,2019/09/13,12:00:00 pm,18.319,,,,,,
102,2019/09/13,1:00:00 pm,17.32,,,,,,
103,2019/09/13,2:00:00 pm,17.629,,,,,,
104,2019/09/13,3:00:00 pm,18.461,,,,,,
105,2019/09/13,4:00:00 pm,19.008,,,,,,
106,2019/09/13,5:00:00 pm,18.985,,,,,,
107,2019/09/13,6:00:00 pm,19.103,,,,,,
108,2019/09/13,7:00:00 pm,19.175,,,,,,
109,2019/09/13,8:00:00 pm,19.151,,,,,,
110,2019/09/13,9:00:00 pm,18.913,,,,,,
111,2019/09/13,10:00:00 pm,18.842,,,,,,
112,2019/09/13,11:00:00 pm,18.866,,,,,,
113,2019/09/14,12:00:00 am,18.842,,,,,,
114,2019/09/14,1:00:00 am,18.818,,,,,,
115,2019/09/14,2:00:00 am,18.604,,,,,,
116,2019/09/14,3:00:00 am,18.866,,,,,,
117,2019/09/14,4:00:00 am,18.081,,,,,,
118,2019/09/14,5:00:00 am,18.509,,,,,,
119,2019/09/14,6:00:00 am,18.842,,,,,,
120,2019/09/14,7:00:00 am,18.628,,,,,,
121,2019/09/14,8:00:00 am,18.747,,,,,,
122,2019/09/14,9:00:00 am,18.913,,,,,,
123,2019/09/14,10:00:00 am,18.985,,,,,,
124,2019/09/14,11:00:00 am,19.008,,,,,,
125,2019/09/14,12:00:00 pm,18.961,,,,,,
126,2019/09/14,1:00:00 pm,18.937,,,,,,
127,2019/09/14,2:00:00 pm,18.889,,,,,,
128,2019/09/14,3:00:00 pm,18.937,,,,,,
129,2019/09/14,4:00:00 pm,18.913,,,,,,
130,2019/09/14,5:00:00 pm,18.913,,,,,,
131,2019/09/14,6:00:00 pm,19.008,,,,,,
132,2019/09/14,7:00:00 pm,18.913,,,,,,
133,2019/09/14,8:00:00 pm,18.937,,,,,,
134,2019/09/14,9:00:00 pm,19.008,,,,,,
135,2019/09/14,10:00:00 pm,18.58,,,,,,
136,2019/09/14,11:00:00 pm,18.652,,,,,,
137,2019/09/15,12:00:00 am,18.509,,,,,,
138,2019/09/15,1:00:00 am,18.438,,,,,,
139,2019/09/15,2:00:00 am,18.58,,,,,,
140,2019/09/15,3:00:00 am,18.461,,,,,,
141,2019/09/15,4:00:00 am,18.675,,,,,,
142,2019/09/15,5:00:00 am,18.675,,,,,,
143,2019/09/15,6:00:00 am,18.628,,,,,,
144,2019/09/15,7:00:00 am,18.39,,,,,,
145,2019/09/15,8:00:00 am,18.366,,,,,,
146,2019/09/15,9:00:00 am,17.772,,,,,,
147,2019/09/15,10:00:00 am,17.677,,,,,,
148,2019/09/15,11:00:00 am,17.629,,,,,,
149,2019/09/15,12:00:00 pm,17.701,,,,,,
150,2019/09/15,1:00:00 pm,17.605,,,,,,
151,2019/09/15,2:00:00 pm,17.177,,,,,,
152,2019/09/15,3:00:00 pm,17.986,,,,,,
153,2019/09/15,4:00:00 pm,18.224,,,,,,
154,2019/09/15,5:00:00 pm,18.057,,,,,,
155,2019/09/15,6:00:00 pm,18.247,,,,,,
156,2019/09/15,7:00:00 pm,18.224,,,,,,
157,2019/09/15,8:00:00 pm,18.271,,,,,,
158,2019/09/15,9:00:00 pm,18.319,,,,,,
159,2019/09/15,10:00:00 pm,18.438,,,,,,
160,2019/09/15,11:00:00 pm,17.915,,,,,,
161,2019/09/16,12:00:00 am,17.819,,,,,,
162,2019/09/16,1:00:00 am,17.938,,,,,,
163,2019/09/16,2:00:00 am,17.915,,,,,,
164,2019/09/16,3:00:00 am,17.819,,,,,,
165,2019/09/16,4:00:00 am,17.653,,,,,,
166,2019/09/16,5:00:00 am,17.486,,,,,,
167,2019/09/16,6:00:00 am,17.51,,,,,,
168,2019/09/16,7:00:00 am,17.653,,,,,,
169,2019/09/16,8:00:00 am,17.772,,,,,,
170,2019/09/16,9:00:00 am,17.582,,,,,,
171,2019/09/16,10:00:00 am,17.534,,,,,,
172,2019/09/16,11:00:00 am,17.391,,,,,,
173,2019/09/16,12:00:00 pm,17.534,,,,,,
174,2019/09/16,1:00:00 pm,17.867,,,,,,
175,2019/09/16,2:00:00 pm,17.344,,,,,,
176,2019/09/16,3:00:00 pm,17.296,,,,,,
177,2019/09/16,4:00:00 pm,17.748,,,,,,
178,2019/09/16,5:00:00 pm,17.249,,,,,,
179,2019/09/16,6:00:00 pm,17.225,,,,,,
180,2019/09/16,7:00:00 pm,17.391,,,,,,
181,2019/09/16,8:00:00 pm,17.629,,,,,,
182,2019/09/16,9:00:00 pm,17.605,,,,,,
183,2019/09/16,10:00:00 pm,17.415,,,,,,
184,2019/09/16,11:00:00 pm,17.272,,,,,,
185,2019/09/17,12:00:00 am,16.939,,,,,,
186,2019/09/17,1:00:00 am,16.963,,,,,,
187,2019/09/17,2:00:00 am,16.963,,,,,,
188,2019/09/17,3:00:00 am,16.749,,,,,,
189,2019/09/17,4:00:00 am,17.153,,,,,,
190,2019/09/17,5:00:00 am,17.082,,,,,,
191,2019/09/17,6:00:00 am,16.272,,,,,,
192,2019/09/17,7:00:00 am,16.153,,,,,,
193,2019/09/17,8:00:00 am,16.392,,,,,,
194,2019/09/17,9:00:00 am,16.725,,,,,,
195,2019/09/17,10:00:00 am,17.177,,,,,,
196,2019/09/17,11:00:00 am,17.32,,,,,,
197,2019/09/17,12:00:00 pm,17.344,,,,,,
198,2019/09/17,1:00:00 pm,17.391,,,,,,
199,2019/09/17,2:00:00 pm,17.391,,,,,,
200,2019/09/17,3:00:00 pm,17.439,,,,,,
201,2019/09/17,4:00:00 pm,17.391,,,,,,
202,2019/09/17,5:00:00 pm,17.653,,,,,,
203,2019/09/17,6:00:00 pm,17.534,,,,,,
204,2019/09/17,7:00:00 pm,17.415,,,,,,
205,2019/09/17,8:00:00 pm,17.32,,,,,,
206,2019/09/17,9:00:00 pm,17.13,,,,,,
207,2019/09/17,10:00:00 pm,16.654,,,,,,
208,2019/09/17,11:00:00 pm,17.249,,,,,,
209,2019/09/18,12:00:00 am,16.511,,,,,,
210,2019/09/18,1:00:00 am,15.748,,,,,,
211,2019/09/18,2:00:00 am,15.939,,,,,,
212,2019/09/18,3:00:00 am,15.772,,,,,,
213,2019/09/18,4:00:00 am,15.27,,,,,,
214,2019/09/18,5:00:00 am,15.199,,,,,,
215,2019/09/18,6:00:00 am,14.96,,,,,,
216,2019/09/18,7:00:00 am,15.581,,,,,,
217,2019/09/18,8:00:00 am,15.509,,,,,,
218,2019/09/18,9:00:00 am,15.986,,,,,,
219,2019/09/18,10:00:00 am,16.129,,,,,,
220,2019/09/18,11:00:00 am,16.082,,,,,,
221,2019/09/18,12:00:00 pm,16.558,,,,,,
222,2019/09/18,1:00:00 pm,16.129,,,,,,
223,2019/09/18,2:00:00 pm,15.27,,,,,,
224,2019/09/18,3:00:00 pm,14.745,,,,,,
225,2019/09/18,4:00:00 pm,15.605,,,,,,
226,2019/09/18,5:00:00 pm,13.69,,,,,,
227,2019/09/18,6:00:00 pm,13.954,,,,,,
228,2019/09/18,7:00:00 pm,14.242,,,,,,
229,2019/09/18,8:00:00 pm,13.377,,,,,,
230,2019/09/18,9:00:00 pm,13.666,,,,,,
231,2019/09/18,10:00:00 pm,14.098,,,,,,
232,2019/09/18,11:00:00 pm,14.888,,,,,,
233,2019/09/19,12:00:00 am,14.385,,,,,,
234,2019/09/19,1:00:00 am,14.05,,,,,,
235,2019/09/19,2:00:00 am,13.978,,,,,,
236,2019/09/19,3:00:00 am,13.473,,,,,,
237,2019/09/19,4:00:00 am,13.786,,,,,,
238,2019/09/19,5:00:00 am,13.762,,,,,,
239,2019/09/19,6:00:00 am,14.481,,,,,,
240,2019/09/19,7:00:00 am,14.601,,,,,,
241,2019/09/19,8:00:00 am,14.505,,,,,,
242,2019/09/19,9:00:00 am,14.218,,,,,,
243,2019/09/19,10:00:00 am,14.385,,,,,,
244,2019/09/19,11:00:00 am,14.625,,,,,,
245,2019/09/19,12:00:00 pm,13.786,,,,,,
246,2019/09/19,1:00:00 pm,14.385,,,,,,
247,2019/09/19,2:00:00 pm,13.786,,,,,,
248,2019/09/19,3:00:00 pm,13.57,,,,,,
249,2019/09/19,4:00:00 pm,13.449,,,,,,
250,2019/09/19,5:00:00 pm,13.377,,,,,,
