"Project:","SAEON","Sub Project:","Algoa Bay Long Term Research"			
"Time Series:","BIO_60m_022","Series Code:","ABLTMRP_BIOFF_UTR_60m_2/7_022","Raw Data File:","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20200921_MalickI"			
"Location:","Bird Island","Site:","Offshore","GPS Name:","80M UTR - BI","Mooring Type:","UTR Array","Mooring No:","11"			
"Latitude:","-33.90385","Longitude:","26.30076","LatShore:","-33.764","LongShore:","26.306","Distance (m):	"			
"Interval (hr):","1","Total:","4681","Variables:","1"			
"Deploy Depth (m):","60","Bottom Depth (m):","80","Bin No:","2","Total Bins:","7"			
"Start Date:","2020-03-04","Start Time:","11:00:00"			
"End Date:","2020-09-15","End Time:","11:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190328"
"Comment:	
"Plot Title: 80m Bird Island 2"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190328, SEN S/N: 20190328)"
4,2020-03-04,11:00:00,11.394
5,2020-03-04,12:00:00,11.467
6,2020-03-04,13:00:00,11.394
7,2020-03-04,14:00:00,11.346
8,2020-03-04,15:00:00,11.370
9,2020-03-04,16:00:00,11.394
10,2020-03-04,17:00:00,11.443
11,2020-03-04,18:00:00,11.467
12,2020-03-04,19:00:00,11.492
13,2020-03-04,20:00:00,11.565
14,2020-03-04,21:00:00,11.637
15,2020-03-04,22:00:00,11.734
16,2020-03-04,23:00:00,11.783
17,2020-03-05,00:00:00,11.832
18,2020-03-05,01:00:00,11.759
19,2020-03-05,02:00:00,12.171
20,2020-03-05,03:00:00,12.292
21,2020-03-05,04:00:00,12.413
22,2020-03-05,05:00:00,11.807
23,2020-03-05,06:00:00,12.171
24,2020-03-05,07:00:00,11.273
25,2020-03-05,08:00:00,11.224
26,2020-03-05,09:00:00,11.224
27,2020-03-05,10:00:00,11.394
28,2020-03-05,11:00:00,11.613
29,2020-03-05,12:00:00,11.783
30,2020-03-05,13:00:00,11.832
31,2020-03-05,14:00:00,11.807
32,2020-03-05,15:00:00,12.098
33,2020-03-05,16:00:00,11.904
34,2020-03-05,17:00:00,12.050
35,2020-03-05,18:00:00,12.098
36,2020-03-05,19:00:00,12.219
37,2020-03-05,20:00:00,12.171
38,2020-03-05,21:00:00,12.219
39,2020-03-05,22:00:00,12.316
40,2020-03-05,23:00:00,12.364
41,2020-03-06,00:00:00,12.485
42,2020-03-06,01:00:00,12.461
43,2020-03-06,02:00:00,12.606
44,2020-03-06,03:00:00,12.703
45,2020-03-06,04:00:00,12.751
46,2020-03-06,05:00:00,12.775
47,2020-03-06,06:00:00,12.703
48,2020-03-06,07:00:00,12.606
49,2020-03-06,08:00:00,12.509
50,2020-03-06,09:00:00,12.606
51,2020-03-06,10:00:00,12.509
52,2020-03-06,11:00:00,12.509
53,2020-03-06,12:00:00,12.389
54,2020-03-06,13:00:00,12.292
55,2020-03-06,14:00:00,11.904
56,2020-03-06,15:00:00,11.904
57,2020-03-06,16:00:00,11.977
58,2020-03-06,17:00:00,12.243
59,2020-03-06,18:00:00,12.485
60,2020-03-06,19:00:00,12.606
61,2020-03-06,20:00:00,12.413
62,2020-03-06,21:00:00,12.122
63,2020-03-06,22:00:00,12.001
64,2020-03-06,23:00:00,12.050
65,2020-03-07,00:00:00,11.929
66,2020-03-07,01:00:00,11.686
67,2020-03-07,02:00:00,11.929
68,2020-03-07,03:00:00,11.880
69,2020-03-07,04:00:00,11.977
70,2020-03-07,05:00:00,12.122
71,2020-03-07,06:00:00,11.904
72,2020-03-07,07:00:00,11.977
73,2020-03-07,08:00:00,11.977
74,2020-03-07,09:00:00,12.050
75,2020-03-07,10:00:00,12.364
76,2020-03-07,11:00:00,12.171
77,2020-03-07,12:00:00,12.001
78,2020-03-07,13:00:00,12.413
79,2020-03-07,14:00:00,11.929
80,2020-03-07,15:00:00,11.856
81,2020-03-07,16:00:00,11.759
82,2020-03-07,17:00:00,11.904
83,2020-03-07,18:00:00,11.856
84,2020-03-07,19:00:00,11.832
85,2020-03-07,20:00:00,11.832
86,2020-03-07,21:00:00,11.759
87,2020-03-07,22:00:00,11.710
88,2020-03-07,23:00:00,11.589
89,2020-03-08,00:00:00,11.589
90,2020-03-08,01:00:00,11.589
91,2020-03-08,02:00:00,11.540
92,2020-03-08,03:00:00,11.516
93,2020-03-08,04:00:00,11.540
94,2020-03-08,05:00:00,11.832
95,2020-03-08,06:00:00,11.929
96,2020-03-08,07:00:00,12.485
97,2020-03-08,08:00:00,12.509
98,2020-03-08,09:00:00,12.050
99,2020-03-08,10:00:00,12.147
100,2020-03-08,11:00:00,11.880
101,2020-03-08,12:00:00,12.050
102,2020-03-08,13:00:00,11.977
103,2020-03-08,14:00:00,12.001
104,2020-03-08,15:00:00,12.001
105,2020-03-08,16:00:00,12.074
