Project:,SAEON,Sub Project:,Algoa Bay Long Term Research,,,,,,
Time Series:,ABC_30m_019,Series Code:,ABLTMRP_ABCEN_UTR_30m_3/5_019,Raw Data File:,G:\.shortcut-targets-by-id\1VG-XCaGZwvhiUMkG75h8YJZzEDj6eZn0\Data Store\Continuous Monitoring Platform\Staging\UTRs\20200330_MalickI\60m_Central_3.csv,,,,
Location:,Algoa Bay Central,Site:,Central,GPS Name:,UTR - CEN,Mooring Type:,UTR Array,Mooring No:,14
Latitude:,-33.88195,Longitude:,25.98585,LatShore:,-33.72,LongShore:,26.855,Distance (m):,
Interval (hr):,1,Total:,3648,Variables:,1,,,,
Deploy Depth (m):,30,Bottom Depth (m):,60,Bin No:,3,Total Bins:,5,,
Start Date:,2019/10/19,Start Time:,12:00:00 am,,,,,,
End Date:,2020/03/18,End Time:,11:00:00 pm,,,,,,
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,20190313,,,,,,
Comment:,,,,,,,,,
#,Date,"Time, GMT+02:00","Temp, °C (LGR S/N: 20190313, SEN S/N: 20190313)",,,,,,
41,2019/10/19,12:00:00 am,14.194,,,,,,
42,2019/10/19,1:00:00 am,14.194,,,,,,
43,2019/10/19,2:00:00 am,14.05,,,,,,
44,2019/10/19,3:00:00 am,13.69,,,,,,
45,2019/10/19,4:00:00 am,13.714,,,,,,
46,2019/10/19,5:00:00 am,14.026,,,,,,
47,2019/10/19,6:00:00 am,14.05,,,,,,
48,2019/10/19,7:00:00 am,14.194,,,,,,
49,2019/10/19,8:00:00 am,14.194,,,,,,
50,2019/10/19,9:00:00 am,14.314,,,,,,
51,2019/10/19,10:00:00 am,14.433,,,,,,
52,2019/10/19,11:00:00 am,14.409,,,,,,
53,2019/10/19,12:00:00 pm,14.29,,,,,,
54,2019/10/19,1:00:00 pm,14.29,,,,,,
55,2019/10/19,2:00:00 pm,14.242,,,,,,
56,2019/10/19,3:00:00 pm,14.266,,,,,,
57,2019/10/19,4:00:00 pm,14.266,,,,,,
58,2019/10/19,5:00:00 pm,14.242,,,,,,
59,2019/10/19,6:00:00 pm,14.218,,,,,,
60,2019/10/19,7:00:00 pm,14.242,,,,,,
61,2019/10/19,8:00:00 pm,14.218,,,,,,
62,2019/10/19,9:00:00 pm,14.194,,,,,,
63,2019/10/19,10:00:00 pm,14.242,,,,,,
64,2019/10/19,11:00:00 pm,14.242,,,,,,
65,2019/10/20,12:00:00 am,14.242,,,,,,
66,2019/10/20,1:00:00 am,14.122,,,,,,
