"Project:","SAEON","Sub Project:","Algoa Bay Long Term Research"			
"Time Series:","ABC_40m_021","Series Code:","ABLTMRP_ABCEN_UTR_40m_2/5_021","Raw Data File:","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20201211_dHotman\60m_Algoa_Bay_Central"			
"Location:","Algoa Bay Central","Site:","Central","GPS Name:","UTR - CEN","Mooring Type:","UTR Array","Mooring No:","14"			
"Latitude:","-33.88195","Longitude:","25.98585","LatShore:","-33.72","LongShore:","26.855","Distance (m):	"			
"Interval (hr):","1","Total:","4392","Variables:","1"			
"Deploy Depth (m):","40","Bottom Depth (m):","60","Bin No:","2","Total Bins:","5"			
"Start Date:","2020-12-10","Start Time:","11:00:00"			
"End Date:","2021-06-11","End Time:","10:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190315"
"Comment:"	
"Plot Title: 60m_Central_2"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190315, SEN S/N: 20190315)"
220,2020-12-10,11:00:00,13.954
221,2020-12-10,12:00:00,13.906
222,2020-12-10,13:00:00,14.481
223,2020-12-10,14:00:00,14.361
224,2020-12-10,15:00:00,14.601
225,2020-12-10,16:00:00,15.438
226,2020-12-10,17:00:00,14.888
227,2020-12-10,18:00:00,16.606
228,2020-12-10,19:00:00,14.816
229,2020-12-10,20:00:00,14.385
230,2020-12-10,21:00:00,14.050
231,2020-12-10,22:00:00,14.002
232,2020-12-10,23:00:00,13.906
233,2020-12-11,00:00:00,13.834
234,2020-12-11,01:00:00,13.906
235,2020-12-11,02:00:00,13.930
236,2020-12-11,03:00:00,13.906
237,2020-12-11,04:00:00,14.266
238,2020-12-11,05:00:00,14.074
239,2020-12-11,06:00:00,14.361
240,2020-12-11,07:00:00,14.026
241,2020-12-11,08:00:00,13.930
242,2020-12-11,09:00:00,13.930
243,2020-12-11,10:00:00,13.882
244,2020-12-11,11:00:00,13.906
245,2020-12-11,12:00:00,13.930
246,2020-12-11,13:00:00,13.906
247,2020-12-11,14:00:00,14.098
248,2020-12-11,15:00:00,13.930
249,2020-12-11,16:00:00,13.762
250,2020-12-11,17:00:00,14.026
251,2020-12-11,18:00:00,13.714
252,2020-12-11,19:00:00,13.810
253,2020-12-11,20:00:00,13.762
254,2020-12-11,21:00:00,13.738
255,2020-12-11,22:00:00,13.666
256,2020-12-11,23:00:00,13.594
257,2020-12-12,00:00:00,13.810
258,2020-12-12,01:00:00,14.242
259,2020-12-12,02:00:00,13.906
260,2020-12-12,03:00:00,13.834
261,2020-12-12,04:00:00,14.194
262,2020-12-12,05:00:00,14.409
263,2020-12-12,06:00:00,14.745
264,2020-12-12,07:00:00,14.816
265,2020-12-12,08:00:00,14.673
266,2020-12-12,09:00:00,15.031
267,2020-12-12,10:00:00,15.629
268,2020-12-12,11:00:00,16.010
269,2020-12-12,12:00:00,16.392
270,2020-12-12,13:00:00,15.652
271,2020-12-12,14:00:00,15.891
272,2020-12-12,15:00:00,14.577
273,2020-12-12,16:00:00,14.768
274,2020-12-12,17:00:00,14.792
275,2020-12-12,18:00:00,14.864
276,2020-12-12,19:00:00,15.199
277,2020-12-12,20:00:00,16.129
278,2020-12-12,21:00:00,15.915
279,2020-12-12,22:00:00,15.963
280,2020-12-12,23:00:00,15.819
281,2020-12-13,00:00:00,16.082
282,2020-12-13,01:00:00,16.034
283,2020-12-13,02:00:00,15.915
284,2020-12-13,03:00:00,16.296
285,2020-12-13,04:00:00,15.270
286,2020-12-13,05:00:00,15.438
287,2020-12-13,06:00:00,15.366
288,2020-12-13,07:00:00,15.342
289,2020-12-13,08:00:00,15.342
290,2020-12-13,09:00:00,15.629
291,2020-12-13,10:00:00,16.177
292,2020-12-13,11:00:00,15.342
293,2020-12-13,12:00:00,15.557
294,2020-12-13,13:00:00,15.342
295,2020-12-13,14:00:00,15.629
296,2020-12-13,15:00:00,15.676
297,2020-12-13,16:00:00,15.294
298,2020-12-13,17:00:00,15.867
299,2020-12-13,18:00:00,15.867
300,2020-12-13,19:00:00,15.891
301,2020-12-13,20:00:00,15.748
302,2020-12-13,21:00:00,15.963
303,2020-12-13,22:00:00,15.724
304,2020-12-13,23:00:00,15.342
305,2020-12-14,00:00:00,14.960
306,2020-12-14,01:00:00,15.175
307,2020-12-14,02:00:00,15.103
308,2020-12-14,03:00:00,15.008
309,2020-12-14,04:00:00,14.912
310,2020-12-14,05:00:00,14.960
311,2020-12-14,06:00:00,14.960
312,2020-12-14,07:00:00,14.625
313,2020-12-14,08:00:00,14.601
314,2020-12-14,09:00:00,14.457
315,2020-12-14,10:00:00,14.337
316,2020-12-14,11:00:00,14.385
317,2020-12-14,12:00:00,14.936
318,2020-12-14,13:00:00,14.960
319,2020-12-14,14:00:00,15.008
320,2020-12-14,15:00:00,14.984
321,2020-12-14,16:00:00,15.008
322,2020-12-14,17:00:00,14.816
323,2020-12-14,18:00:00,14.960
324,2020-12-14,19:00:00,15.079
325,2020-12-14,20:00:00,14.984
326,2020-12-14,21:00:00,14.984
327,2020-12-14,22:00:00,15.199
328,2020-12-14,23:00:00,15.055
329,2020-12-15,00:00:00,14.984
330,2020-12-15,01:00:00,14.864
331,2020-12-15,02:00:00,14.768
332,2020-12-15,03:00:00,14.721
333,2020-12-15,04:00:00,14.697
334,2020-12-15,05:00:00,14.816
335,2020-12-15,06:00:00,15.055
336,2020-12-15,07:00:00,14.936
337,2020-12-15,08:00:00,14.984
338,2020-12-15,09:00:00,14.792
339,2020-12-15,10:00:00,15.079
340,2020-12-15,11:00:00,15.079
341,2020-12-15,12:00:00,14.936
342,2020-12-15,13:00:00,14.792
343,2020-12-15,14:00:00,14.625
344,2020-12-15,15:00:00,14.721
345,2020-12-15,16:00:00,14.673
346,2020-12-15,17:00:00,15.270
347,2020-12-15,18:00:00,14.577
348,2020-12-15,19:00:00,14.577
349,2020-12-15,20:00:00,14.697
350,2020-12-15,21:00:00,14.840
351,2020-12-15,22:00:00,14.960
352,2020-12-15,23:00:00,14.840
353,2020-12-16,00:00:00,14.768
354,2020-12-16,01:00:00,14.984
355,2020-12-16,02:00:00,14.768
356,2020-12-16,03:00:00,14.721
357,2020-12-16,04:00:00,14.745
358,2020-12-16,05:00:00,14.721
359,2020-12-16,06:00:00,14.840
360,2020-12-16,07:00:00,14.816
361,2020-12-16,08:00:00,15.055
362,2020-12-16,09:00:00,14.912
363,2020-12-16,10:00:00,15.079
364,2020-12-16,11:00:00,15.079
365,2020-12-16,12:00:00,14.768
366,2020-12-16,13:00:00,14.816
367,2020-12-16,14:00:00,14.864
368,2020-12-16,15:00:00,14.888
369,2020-12-16,16:00:00,15.031
370,2020-12-16,17:00:00,14.888
371,2020-12-16,18:00:00,14.864
