Project:,SAEON,Sub Project:,St Francis Bay Long Term Research
Time Series:,SFB_THYS_30m_006,Series Code:,SFB_TH1S_UTR_30m_1/3_006,Raw Data File:,Thys_1.csv
Location:,St Francis Bay,Site:,Thyspunt,GPS Name:,UTR-StF-THYS,Mooring Type:,UTR Array,Mooring No:,
Latitude:,-34.197730,Longitude:,24.693490,LatShore:,-  .,LongShore:,  .,Distance (m):,
Interval (hr):,1,Total:,3885,Variables:,1
Deploy Depth (m):,30,Bottom Depth (m):,30,Bin No:,1,Total Bins:,3
Start Date:,2017-09-30,Start Time:,13:00:00
End Date:,2018-03-11,End Time:,09:00:00
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,9911643
Comment:,
Date (yyyy-mm-dd),Time (hh:mm:ss),Temperature (°C)
2017-09-30,13:00:00,15.199
2017-09-30,14:00:00,15.175
2017-09-30,15:00:00,15.175
2017-09-30,16:00:00,15.199
2017-09-30,17:00:00,15.199
2017-09-30,18:00:00,15.199
2017-09-30,19:00:00,15.199
2017-09-30,20:00:00,15.175
2017-09-30,21:00:00,15.175
2017-09-30,22:00:00,15.175
2017-09-30,23:00:00,15.175
2017-10-01,00:00:00,15.199
2017-10-01,01:00:00,15.199
2017-10-01,02:00:00,15.175
2017-10-01,03:00:00,15.175
2017-10-01,04:00:00,15.175
2017-10-01,05:00:00,15.151
2017-10-01,06:00:00,15.151
2017-10-01,07:00:00,15.151
2017-10-01,08:00:00,15.151
2017-10-01,09:00:00,14.912
2017-10-01,10:00:00,14.840
2017-10-01,11:00:00,14.553
2017-10-01,12:00:00,14.361
2017-10-01,13:00:00,14.697
2017-10-01,14:00:00,14.481
2017-10-01,15:00:00,14.553
2017-10-01,16:00:00,14.697
2017-10-01,17:00:00,14.290
2017-10-01,18:00:00,14.146
2017-10-01,19:00:00,14.242
2017-10-01,20:00:00,14.457
2017-10-01,21:00:00,14.745
2017-10-01,22:00:00,13.522
2017-10-01,23:00:00,13.497
2017-10-02,00:00:00,13.497
2017-10-02,01:00:00,13.762
2017-10-02,02:00:00,14.050
2017-10-02,03:00:00,14.122
2017-10-02,04:00:00,12.654
2017-10-02,05:00:00,12.920
2017-10-02,06:00:00,12.992
2017-10-02,07:00:00,12.582
2017-10-02,08:00:00,12.509
2017-10-02,09:00:00,12.534
2017-10-02,10:00:00,12.630
2017-10-02,11:00:00,12.485
2017-10-02,12:00:00,12.316
2017-10-02,13:00:00,12.243
2017-10-02,14:00:00,12.147
2017-10-02,15:00:00,12.074
2017-10-02,16:00:00,11.880
2017-10-02,17:00:00,11.832
2017-10-02,18:00:00,11.783
2017-10-02,19:00:00,11.807
2017-10-02,20:00:00,11.783
2017-10-02,21:00:00,11.783
2017-10-02,22:00:00,11.637
2017-10-02,23:00:00,11.492
2017-10-03,00:00:00,11.492
2017-10-03,01:00:00,11.492
2017-10-03,02:00:00,11.467
2017-10-03,03:00:00,11.467
2017-10-03,04:00:00,11.467
2017-10-03,05:00:00,11.467
2017-10-03,06:00:00,11.467
2017-10-03,07:00:00,11.467
2017-10-03,08:00:00,11.492
2017-10-03,09:00:00,11.565
2017-10-03,10:00:00,11.977
2017-10-03,11:00:00,12.944
2017-10-03,12:00:00,13.497
2017-10-03,13:00:00,14.409
2017-10-03,14:00:00,14.697
2017-10-03,15:00:00,14.792
2017-10-03,16:00:00,14.481
2017-10-03,17:00:00,14.649
2017-10-03,18:00:00,14.840
2017-10-03,19:00:00,14.912
2017-10-03,20:00:00,15.031
2017-10-03,21:00:00,15.223
2017-10-03,22:00:00,15.294
2017-10-03,23:00:00,15.318
2017-10-04,00:00:00,15.318
2017-10-04,01:00:00,15.366
2017-10-04,02:00:00,15.366
2017-10-04,03:00:00,15.342
2017-10-04,04:00:00,14.960
2017-10-04,05:00:00,15.151
2017-10-04,06:00:00,14.721
2017-10-04,07:00:00,14.505
2017-10-04,08:00:00,14.888
2017-10-04,09:00:00,14.074
2017-10-04,10:00:00,14.745
2017-10-04,11:00:00,14.936
2017-10-04,12:00:00,14.960
2017-10-04,13:00:00,15.079
2017-10-04,14:00:00,15.103
2017-10-04,15:00:00,15.127
2017-10-04,16:00:00,15.127
2017-10-04,17:00:00,15.127
2017-10-04,18:00:00,15.103
2017-10-04,19:00:00,15.127
2017-10-04,20:00:00,15.127
2017-10-04,21:00:00,15.127
2017-10-04,22:00:00,15.127
2017-10-04,23:00:00,15.127
2017-10-05,00:00:00,15.127
2017-10-05,01:00:00,15.127
2017-10-05,02:00:00,15.127
2017-10-05,03:00:00,15.175
2017-10-05,04:00:00,15.103
2017-10-05,05:00:00,15.103
2017-10-05,06:00:00,15.127
2017-10-05,07:00:00,15.127
2017-10-05,08:00:00,15.223
2017-10-05,09:00:00,15.079
2017-10-05,10:00:00,15.175
2017-10-05,11:00:00,15.294
2017-10-05,12:00:00,15.366
2017-10-05,13:00:00,15.438
2017-10-05,14:00:00,15.461
2017-10-05,15:00:00,15.438
2017-10-05,16:00:00,15.414
2017-10-05,17:00:00,15.438
2017-10-05,18:00:00,15.605
2017-10-05,19:00:00,15.629
2017-10-05,20:00:00,15.629
2017-10-05,21:00:00,15.605
2017-10-05,22:00:00,15.461
2017-10-05,23:00:00,15.581
2017-10-06,00:00:00,15.438
2017-10-06,01:00:00,15.581
2017-10-06,02:00:00,15.461
2017-10-06,03:00:00,15.581
2017-10-06,04:00:00,15.342
2017-10-06,05:00:00,15.342
2017-10-06,06:00:00,15.294
2017-10-06,07:00:00,15.247
2017-10-06,08:00:00,15.294
2017-10-06,09:00:00,15.270
2017-10-06,10:00:00,15.342
2017-10-06,11:00:00,15.366
2017-10-06,12:00:00,15.414
2017-10-06,13:00:00,15.414
2017-10-06,14:00:00,15.438
2017-10-06,15:00:00,15.485
2017-10-06,16:00:00,15.438
2017-10-06,17:00:00,15.438
2017-10-06,18:00:00,15.438
2017-10-06,19:00:00,15.438
2017-10-06,20:00:00,15.438
2017-10-06,21:00:00,15.414
2017-10-06,22:00:00,15.390
2017-10-06,23:00:00,15.366
2017-10-07,00:00:00,15.366
2017-10-07,01:00:00,15.390
2017-10-07,02:00:00,15.438
2017-10-07,03:00:00,15.438
2017-10-07,04:00:00,15.414
2017-10-07,05:00:00,15.414
2017-10-07,06:00:00,15.414
2017-10-07,07:00:00,15.366
2017-10-07,08:00:00,15.366
2017-10-07,09:00:00,15.151
2017-10-07,10:00:00,15.247
2017-10-07,11:00:00,15.270
2017-10-07,12:00:00,15.318
2017-10-07,13:00:00,15.414
2017-10-07,14:00:00,14.098
2017-10-07,15:00:00,14.792
2017-10-07,16:00:00,15.366
2017-10-07,17:00:00,15.700
2017-10-07,18:00:00,15.986
