"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB_THYS_30m_008","Series Code:","SFB_THYS_UTR_30m_1/4_008","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20200604_dHotman\St_Francis_Bay_30m_Thyspunt"			
"Location:","St Francis Bay","Site:","Thyspunt","GPS Name:","UTR-StF-THYS","Mooring Type:","UTR Array","Mooring No:","17"			
"Latitude:","-34.19814","Longitude:","24.69362","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","4608","Variables:","1"			
"Deploy Depth (m):","30","Bottom Depth (m):","30","Bin No:","1","Total Bins:","4"			
"Start Date:","2019-11-22","Start Time:","12:00:00"			
"End Date:","2020-06-01","End Time:","11:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20175014"
"Comment:"	
"Plot Title: Thyspunt_1"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20175014, SEN S/N: 20175014)"
365,2019-11-22,12:00:00,18.033
366,2019-11-22,13:00:00,18.057
367,2019-11-22,14:00:00,18.152
368,2019-11-22,15:00:00,18.224
369,2019-11-22,16:00:00,18.129
370,2019-11-22,17:00:00,18.176
371,2019-11-22,18:00:00,18.010
372,2019-11-22,19:00:00,17.486
373,2019-11-22,20:00:00,17.534
374,2019-11-22,21:00:00,17.558
375,2019-11-22,22:00:00,17.701
376,2019-11-22,23:00:00,17.701
377,2019-11-23,00:00:00,17.653
378,2019-11-23,01:00:00,17.724
379,2019-11-23,02:00:00,17.701
380,2019-11-23,03:00:00,17.772
381,2019-11-23,04:00:00,17.582
382,2019-11-23,05:00:00,17.344
383,2019-11-23,06:00:00,17.748
384,2019-11-23,07:00:00,17.962
385,2019-11-23,08:00:00,18.010
386,2019-11-23,09:00:00,18.224
387,2019-11-23,10:00:00,18.295
388,2019-11-23,11:00:00,18.604
389,2019-11-23,12:00:00,18.747
390,2019-11-23,13:00:00,18.889
391,2019-11-23,14:00:00,18.628
392,2019-11-23,15:00:00,18.771
393,2019-11-23,16:00:00,17.296
394,2019-11-23,17:00:00,18.390
395,2019-11-23,18:00:00,18.675
396,2019-11-23,19:00:00,18.652
397,2019-11-23,20:00:00,18.557
398,2019-11-23,21:00:00,18.485
399,2019-11-23,22:00:00,17.962
400,2019-11-23,23:00:00,17.748
401,2019-11-24,00:00:00,17.772
402,2019-11-24,01:00:00,17.819
403,2019-11-24,02:00:00,17.938
404,2019-11-24,03:00:00,17.986
405,2019-11-24,04:00:00,18.105
406,2019-11-24,05:00:00,18.105
407,2019-11-24,06:00:00,18.129
408,2019-11-24,07:00:00,18.129
409,2019-11-24,08:00:00,18.319
410,2019-11-24,09:00:00,18.343
411,2019-11-24,10:00:00,18.699
