"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB60W_50m_006","Series Code:","SFBLTMRP_SFB60W_UTR_50m_1/5_006","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20191213_MalickI"			
"Location:","St Francis Bay 60m West","Site:","St Francis Bay 60m West","GPS Name:","UTR - 60m_StF-W","Mooring Type:","UTR Array","Mooring No:","21"			
"Latitude:","-34.0891","Longitude:","25.07657","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","4680","Variables:","1"			
"Deploy Depth (m):","50","Bottom Depth (m):","60","Bin No:","1","Total Bins:","5"			
"Start Date:","2019-05-11","Start Time:","13:00:00"			
"End Date:","2019-11-22","End Time:","12:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190328"
"Comment:"	
"Plot Title: 60m St Francis_1"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190328, SEN S/N: 20190328)"
31,2019-05-11,13:00:00,9.903
32,2019-05-11,14:00:00,9.879
33,2019-05-11,15:00:00,9.903
34,2019-05-11,16:00:00,9.879
35,2019-05-11,17:00:00,9.879
36,2019-05-11,18:00:00,9.854
37,2019-05-11,19:00:00,9.854
38,2019-05-11,20:00:00,9.854
39,2019-05-11,21:00:00,9.829
40,2019-05-11,22:00:00,9.854
41,2019-05-11,23:00:00,9.854
42,2019-05-12,00:00:00,9.854
43,2019-05-12,01:00:00,9.879
44,2019-05-12,02:00:00,9.854
45,2019-05-12,03:00:00,9.854
46,2019-05-12,04:00:00,9.829
47,2019-05-12,05:00:00,9.829
48,2019-05-12,06:00:00,9.829
49,2019-05-12,07:00:00,9.829
50,2019-05-12,08:00:00,9.829
51,2019-05-12,09:00:00,9.829
52,2019-05-12,10:00:00,9.805
53,2019-05-12,11:00:00,9.805
54,2019-05-12,12:00:00,9.805
55,2019-05-12,13:00:00,9.854
56,2019-05-12,14:00:00,9.829
57,2019-05-12,15:00:00,9.805
58,2019-05-12,16:00:00,9.780
59,2019-05-12,17:00:00,9.780
60,2019-05-12,18:00:00,9.780
61,2019-05-12,19:00:00,9.805
62,2019-05-12,20:00:00,9.780
63,2019-05-12,21:00:00,9.829
64,2019-05-12,22:00:00,9.879
65,2019-05-12,23:00:00,9.903
66,2019-05-13,00:00:00,9.805
67,2019-05-13,01:00:00,9.879
68,2019-05-13,02:00:00,9.928
69,2019-05-13,03:00:00,9.829
70,2019-05-13,04:00:00,9.829
71,2019-05-13,05:00:00,9.854
72,2019-05-13,06:00:00,9.854
73,2019-05-13,07:00:00,9.879
74,2019-05-13,08:00:00,9.829
75,2019-05-13,09:00:00,9.952
76,2019-05-13,10:00:00,9.928
77,2019-05-13,11:00:00,9.952
78,2019-05-13,12:00:00,10.026
79,2019-05-13,13:00:00,10.001
80,2019-05-13,14:00:00,10.051
81,2019-05-13,15:00:00,10.075
82,2019-05-13,16:00:00,10.100
83,2019-05-13,17:00:00,10.100
84,2019-05-13,18:00:00,10.001
85,2019-05-13,19:00:00,9.952
86,2019-05-13,20:00:00,9.903
87,2019-05-13,21:00:00,9.879
88,2019-05-13,22:00:00,9.854
89,2019-05-13,23:00:00,9.829
90,2019-05-14,00:00:00,9.829
91,2019-05-14,01:00:00,9.829
92,2019-05-14,02:00:00,9.903
93,2019-05-14,03:00:00,9.952
94,2019-05-14,04:00:00,9.879
95,2019-05-14,05:00:00,9.903
96,2019-05-14,06:00:00,9.903
97,2019-05-14,07:00:00,9.928
98,2019-05-14,08:00:00,9.928
99,2019-05-14,09:00:00,9.903
100,2019-05-14,10:00:00,9.879
101,2019-05-14,11:00:00,9.903
102,2019-05-14,12:00:00,9.903
103,2019-05-14,13:00:00,9.928
104,2019-05-14,14:00:00,9.928
105,2019-05-14,15:00:00,9.952
106,2019-05-14,16:00:00,9.928
107,2019-05-14,17:00:00,9.928
108,2019-05-14,18:00:00,9.854
109,2019-05-14,19:00:00,9.805
110,2019-05-14,20:00:00,9.780
111,2019-05-14,21:00:00,9.780
112,2019-05-14,22:00:00,9.780
113,2019-05-14,23:00:00,9.780
114,2019-05-15,00:00:00,9.780
115,2019-05-15,01:00:00,9.780
116,2019-05-15,02:00:00,9.805
117,2019-05-15,03:00:00,9.780
118,2019-05-15,04:00:00,9.756
119,2019-05-15,05:00:00,9.731
120,2019-05-15,06:00:00,9.706
121,2019-05-15,07:00:00,9.682
122,2019-05-15,08:00:00,9.682
123,2019-05-15,09:00:00,9.682
124,2019-05-15,10:00:00,9.682
125,2019-05-15,11:00:00,9.731
126,2019-05-15,12:00:00,9.756
127,2019-05-15,13:00:00,9.829
128,2019-05-15,14:00:00,9.879
129,2019-05-15,15:00:00,9.928
130,2019-05-15,16:00:00,9.977
131,2019-05-15,17:00:00,10.026
132,2019-05-15,18:00:00,10.100
133,2019-05-15,19:00:00,10.247
134,2019-05-15,20:00:00,10.369
135,2019-05-15,21:00:00,10.418
136,2019-05-15,22:00:00,10.394
137,2019-05-15,23:00:00,10.369
138,2019-05-16,00:00:00,10.296
139,2019-05-16,01:00:00,10.075
140,2019-05-16,02:00:00,10.001
141,2019-05-16,03:00:00,9.977
142,2019-05-16,04:00:00,9.977
143,2019-05-16,05:00:00,9.977
144,2019-05-16,06:00:00,10.001
145,2019-05-16,07:00:00,10.001
146,2019-05-16,08:00:00,10.026
147,2019-05-16,09:00:00,10.075
148,2019-05-16,10:00:00,10.198
149,2019-05-16,11:00:00,10.394
150,2019-05-16,12:00:00,10.492
151,2019-05-16,13:00:00,10.467
152,2019-05-16,14:00:00,10.590
153,2019-05-16,15:00:00,10.565
154,2019-05-16,16:00:00,10.614
155,2019-05-16,17:00:00,10.712
156,2019-05-16,18:00:00,10.810
157,2019-05-16,19:00:00,10.467
158,2019-05-16,20:00:00,10.443
159,2019-05-16,21:00:00,10.418
160,2019-05-16,22:00:00,10.369
161,2019-05-16,23:00:00,10.516
162,2019-05-17,00:00:00,10.320
163,2019-05-17,01:00:00,10.369
164,2019-05-17,02:00:00,10.418
165,2019-05-17,03:00:00,10.418
166,2019-05-17,04:00:00,10.418
167,2019-05-17,05:00:00,10.418
168,2019-05-17,06:00:00,10.614
169,2019-05-17,07:00:00,10.810
170,2019-05-17,08:00:00,10.785
171,2019-05-17,09:00:00,11.005
172,2019-05-17,10:00:00,11.005
173,2019-05-17,11:00:00,10.443
174,2019-05-17,12:00:00,10.124
175,2019-05-17,13:00:00,10.124
176,2019-05-17,14:00:00,10.075
177,2019-05-17,15:00:00,10.075
178,2019-05-17,16:00:00,10.075
179,2019-05-17,17:00:00,10.075
180,2019-05-17,18:00:00,10.124
181,2019-05-17,19:00:00,10.271
182,2019-05-17,20:00:00,10.198
183,2019-05-17,21:00:00,10.198
184,2019-05-17,22:00:00,10.198
185,2019-05-17,23:00:00,10.173
186,2019-05-18,00:00:00,10.026
187,2019-05-18,01:00:00,10.051
188,2019-05-18,02:00:00,9.928
189,2019-05-18,03:00:00,9.854
190,2019-05-18,04:00:00,9.805
191,2019-05-18,05:00:00,9.780
192,2019-05-18,06:00:00,9.780
193,2019-05-18,07:00:00,9.756
194,2019-05-18,08:00:00,9.756
195,2019-05-18,09:00:00,9.780
196,2019-05-18,10:00:00,9.829
197,2019-05-18,11:00:00,9.879
198,2019-05-18,12:00:00,9.829
199,2019-05-18,13:00:00,9.829
200,2019-05-18,14:00:00,9.854
201,2019-05-18,15:00:00,9.879
202,2019-05-18,16:00:00,9.952
203,2019-05-18,17:00:00,10.149
204,2019-05-18,18:00:00,10.026
205,2019-05-18,19:00:00,10.075
206,2019-05-18,20:00:00,10.173
207,2019-05-18,21:00:00,10.247
208,2019-05-18,22:00:00,10.638
209,2019-05-18,23:00:00,10.761
210,2019-05-19,00:00:00,10.858
211,2019-05-19,01:00:00,11.346
212,2019-05-19,02:00:00,11.200
213,2019-05-19,03:00:00,10.467
214,2019-05-19,04:00:00,10.345
215,2019-05-19,05:00:00,10.418
216,2019-05-19,06:00:00,10.418
217,2019-05-19,07:00:00,10.296
218,2019-05-19,08:00:00,10.320
219,2019-05-19,09:00:00,10.271
220,2019-05-19,10:00:00,10.173
221,2019-05-19,11:00:00,10.075
222,2019-05-19,12:00:00,10.051
223,2019-05-19,13:00:00,9.977
224,2019-05-19,14:00:00,9.952
225,2019-05-19,15:00:00,9.928
226,2019-05-19,16:00:00,9.903
227,2019-05-19,17:00:00,9.903
228,2019-05-19,18:00:00,9.903
229,2019-05-19,19:00:00,9.928
230,2019-05-19,20:00:00,9.928
231,2019-05-19,21:00:00,9.952
232,2019-05-19,22:00:00,10.026
233,2019-05-19,23:00:00,10.001
234,2019-05-20,00:00:00,9.952
235,2019-05-20,01:00:00,9.903
236,2019-05-20,02:00:00,9.879
237,2019-05-20,03:00:00,9.829
238,2019-05-20,04:00:00,9.805
239,2019-05-20,05:00:00,9.780
240,2019-05-20,06:00:00,9.780
241,2019-05-20,07:00:00,9.805
242,2019-05-20,08:00:00,9.829
243,2019-05-20,09:00:00,10.100
244,2019-05-20,10:00:00,10.222
245,2019-05-20,11:00:00,9.977
246,2019-05-20,12:00:00,9.977
247,2019-05-20,13:00:00,10.075
248,2019-05-20,14:00:00,10.026
249,2019-05-20,15:00:00,10.026
250,2019-05-20,16:00:00,9.977
251,2019-05-20,17:00:00,9.928
252,2019-05-20,18:00:00,10.026
253,2019-05-20,19:00:00,10.001
254,2019-05-20,20:00:00,10.100
255,2019-05-20,21:00:00,10.075
256,2019-05-20,22:00:00,10.075
257,2019-05-20,23:00:00,10.075
258,2019-05-21,00:00:00,10.320
259,2019-05-21,01:00:00,10.247
260,2019-05-21,02:00:00,10.443
261,2019-05-21,03:00:00,10.467
262,2019-05-21,04:00:00,10.785
263,2019-05-21,05:00:00,10.663
264,2019-05-21,06:00:00,10.565
265,2019-05-21,07:00:00,10.296
266,2019-05-21,08:00:00,10.320
267,2019-05-21,09:00:00,10.345
268,2019-05-21,10:00:00,10.418
269,2019-05-21,11:00:00,10.492
270,2019-05-21,12:00:00,10.516
271,2019-05-21,13:00:00,10.736
272,2019-05-21,14:00:00,10.663
273,2019-05-21,15:00:00,10.443
274,2019-05-21,16:00:00,10.320
275,2019-05-21,17:00:00,10.687
276,2019-05-21,18:00:00,11.053
277,2019-05-21,19:00:00,10.271
278,2019-05-21,20:00:00,10.614
279,2019-05-21,21:00:00,10.614
280,2019-05-21,22:00:00,11.175
281,2019-05-21,23:00:00,10.418
282,2019-05-22,00:00:00,10.516
283,2019-05-22,01:00:00,10.565
284,2019-05-22,02:00:00,10.785
285,2019-05-22,03:00:00,11.005
286,2019-05-22,04:00:00,10.712
287,2019-05-22,05:00:00,10.932
288,2019-05-22,06:00:00,10.614
289,2019-05-22,07:00:00,10.492
290,2019-05-22,08:00:00,10.858
291,2019-05-22,09:00:00,10.222
292,2019-05-22,10:00:00,10.394
293,2019-05-22,11:00:00,10.198
294,2019-05-22,12:00:00,10.026
295,2019-05-22,13:00:00,9.952
296,2019-05-22,14:00:00,9.928
297,2019-05-22,15:00:00,9.903
298,2019-05-22,16:00:00,9.903
299,2019-05-22,17:00:00,9.903
300,2019-05-22,18:00:00,9.928
301,2019-05-22,19:00:00,10.001
302,2019-05-22,20:00:00,9.928
303,2019-05-22,21:00:00,9.879
304,2019-05-22,22:00:00,9.879
305,2019-05-22,23:00:00,9.879
306,2019-05-23,00:00:00,9.879
307,2019-05-23,01:00:00,9.903
308,2019-05-23,02:00:00,9.854
309,2019-05-23,03:00:00,9.854
310,2019-05-23,04:00:00,9.805
311,2019-05-23,05:00:00,9.805
312,2019-05-23,06:00:00,9.854
313,2019-05-23,07:00:00,10.051
314,2019-05-23,08:00:00,10.247
315,2019-05-23,09:00:00,10.247
316,2019-05-23,10:00:00,9.854
317,2019-05-23,11:00:00,9.903
318,2019-05-23,12:00:00,9.928
319,2019-05-23,13:00:00,9.952
320,2019-05-23,14:00:00,9.977
321,2019-05-23,15:00:00,10.026
322,2019-05-23,16:00:00,10.026
323,2019-05-23,17:00:00,10.026
324,2019-05-23,18:00:00,10.075
325,2019-05-23,19:00:00,10.051
326,2019-05-23,20:00:00,10.026
327,2019-05-23,21:00:00,10.001
328,2019-05-23,22:00:00,9.977
329,2019-05-23,23:00:00,9.977
330,2019-05-24,00:00:00,9.928
331,2019-05-24,01:00:00,9.903
332,2019-05-24,02:00:00,9.805
333,2019-05-24,03:00:00,9.756
334,2019-05-24,04:00:00,9.706
335,2019-05-24,05:00:00,9.682
336,2019-05-24,06:00:00,9.706
337,2019-05-24,07:00:00,9.706
338,2019-05-24,08:00:00,9.731
339,2019-05-24,09:00:00,9.706
340,2019-05-24,10:00:00,9.682
341,2019-05-24,11:00:00,9.632
342,2019-05-24,12:00:00,9.608
343,2019-05-24,13:00:00,9.558
344,2019-05-24,14:00:00,9.435
345,2019-05-24,15:00:00,9.361
346,2019-05-24,16:00:00,9.336
347,2019-05-24,17:00:00,9.336
348,2019-05-24,18:00:00,9.336
349,2019-05-24,19:00:00,9.287
350,2019-05-24,20:00:00,9.262
351,2019-05-24,21:00:00,9.238
352,2019-05-24,22:00:00,9.213
353,2019-05-24,23:00:00,9.188
354,2019-05-25,00:00:00,9.188
355,2019-05-25,01:00:00,9.188
356,2019-05-25,02:00:00,9.188
357,2019-05-25,03:00:00,9.163
358,2019-05-25,04:00:00,9.139
359,2019-05-25,05:00:00,9.040
360,2019-05-25,06:00:00,9.015
361,2019-05-25,07:00:00,8.990
362,2019-05-25,08:00:00,8.990
363,2019-05-25,09:00:00,8.990
364,2019-05-25,10:00:00,8.965
365,2019-05-25,11:00:00,8.965
366,2019-05-25,12:00:00,8.941
367,2019-05-25,13:00:00,8.941
368,2019-05-25,14:00:00,8.916
369,2019-05-25,15:00:00,8.916
370,2019-05-25,16:00:00,8.891
371,2019-05-25,17:00:00,8.891
372,2019-05-25,18:00:00,8.891
373,2019-05-25,19:00:00,8.891
374,2019-05-25,20:00:00,8.891
375,2019-05-25,21:00:00,8.916
376,2019-05-25,22:00:00,8.916
377,2019-05-25,23:00:00,8.891
378,2019-05-26,00:00:00,8.841
